ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
3633,FL-2010-000070-BGD,Bangladesh,0,89.5099,22.1528,7062.71,2010-03-27,2010-04-07,0,104,0,Heavy Rain,1.0
3679,0,Bangladesh,0,90.0355,23.9949,24987.26,2010-07-01,2010-07-13,0,0,600000,Monsoonal Rain,1.0
3716,0,Bangladesh,0,89.64,25.425,7364.9,2010-09-09,2010-09-30,News,0,140000,Monsoon Rains,1.5
3732,0,Bangladesh,0,91.035,24.21,29265.76,2010-10-01,2010-10-12,News,15,500000,Heavy Rain and Storm Surge,1.5
3843,,Bangladesh,,89.0463,22.5641,19191.59,2011-07-21,2011-07-29,News,6,10000,Monsoonal Rain,1.5
3939,,Bangladesh,,92.0988,22.1723,9560.29,2012-06-24,2012-07-02,News,106,102000,Monsoonal Rain,1.5
4056,2013-TC-000060-MMR and BGD,Bangladesh,Myanmar,91.194,23.6387,72847.78,2013-05-14,2013-05-16,News,19,1166000,Tropical Storm Mahasen,1.5
4161,,Bangladesh,,90.5498,22.3313,217.529,2014-07-13,2014-07-14,News,0,30000,Heavy Rain and High Tide,1.5
4178,,Bangladesh,,90.6333,24.5661,35999.91,2014-08-20,2014-09-08,News,17,500000,Monsoonal Rain,1.5
4263,,Bangladesh,,91.9942,22.4079,12508.17,2015-06-24,2015-06-29,News,0,23,Torrential Rain,1.5
4382,FL-2016-000075-BGD,Bangladesh,,90.0395,24.095,45667.11,2016-07-25,2016-08-26,News,42,25000,Monsoonal Rain,1.5
4459,,Bangladesh,,90.6828,24.3178,16281.3,2017-03-30,2017-04-18,News,0,0,Heavy Rain,1.0
4466,,Bangladesh,India,89.5446,25.3101,37654.52,2017-04-16,2017-05-02,News,20,0,Heavy Rain,1.0
4484,LS-2017-000068-BGD,Bangladesh,,92.1427,22.2842,30486.14,2017-06-11,2017-06-14,News,60,0,Monsoonal Rain,1.5
4508,FL-2017-000108-BGD,Bangladesh,,90.0148,24.5912,100009.94,2017-08-10,2017-08-26,News,117,300000,Monsoonal Rain,1.5
4617,,Bangladesh,,92.1303,23.2262,3882.39,2018-05-20,2018-05-22,News,21,14000,Torrential Rain,1.5
4769,,Bangladesh,,89.3518,25.1859,34209.79,2019-07-10,2019-07-13,FloodList,0,10000,Monsoonal Rain,1.0
4939,,Bangladesh,,89.8168,24.7648,44109.91,2020-06-30,2020-07-30,FloodList,0,30000,Monsoonal Rain,1.5
5106,,Bangladesh,,92.1303,21.875,6303.83,2021-07-27,2021-07-30,FloodList,8,0,Monsoonal Rain,1.5
